Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.415	0:00.000	decimal	Cue	
CD Track 01	0:02.666	0:00.000	decimal	Track	
Marker 02	0:07.097	0:00.000	decimal	Cue	
CD Track 02	0:10.160	0:00.000	decimal	Track	
Marker 03	0:13.560	0:00.000	decimal	Cue	
CD Track 03	0:15.493	0:00.000	decimal	Track	
Marker 04	0:19.623	0:00.000	decimal	Cue	
CD Track 04	0:21.880	0:00.000	decimal	Track	
Marker 08	0:26.767	0:00.000	decimal	Subclip	
Marker 05	0:28.330	0:00.000	decimal	Cue	
CD Track 06	0:35.933	0:00.000	decimal	Track	
Marker 06	0:39.181	0:00.000	decimal	Cue	
CD Track 05	0:42.426	0:00.000	decimal	Track	
Marker 07	0:46.685	0:00.000	decimal	Cue	
