Name	Start	Duration	Time Format	Type	Description
Marker 01	1:38.168	0:00.000	decimal	Cue	
CD Track 01	1:45.480	0:00.000	decimal	Track	
CD Track 02	1:52.880	0:00.000	decimal	Track	
CD Track 05	1:56.453	0:00.000	decimal	Track	
CD Track 22	1:59.760	0:00.000	decimal	Track	
CD Track 03	2:02.066	0:00.000	decimal	Track	
CD Track 06	2:06.306	0:00.000	decimal	Track	
CD Track 07	2:13.400	0:00.000	decimal	Track	
CD Track 09	2:14.720	0:00.000	decimal	Track	
CD Track 23	2:18.013	0:00.000	decimal	Track	
Marker 02	2:21.280	0:00.000	decimal	Cue	
CD Track 10	2:27.520	0:00.000	decimal	Track	
CD Track 12	2:32.506	0:00.000	decimal	Track	
CD Track 11	2:35.613	0:00.000	decimal	Track	
Marker 03	2:41.358	0:00.000	decimal	Cue	
CD Track 14	2:48.573	0:00.000	decimal	Track	
CD Track 15	2:56.120	0:00.000	decimal	Track	
CD Track 16	3:01.533	0:00.000	decimal	Track	
Marker 04	3:05.827	0:00.000	decimal	Cue	
CD Track 17	3:11.200	0:00.000	decimal	Track	
CD Track 24	3:12.946	0:00.000	decimal	Track	
CD Track 18	3:20.400	0:00.000	decimal	Track	
Marker 05	3:25.239	0:00.000	decimal	Cue	
CD Track 19	3:32.680	0:00.000	decimal	Track	
CD Track 20	3:36.040	0:00.000	decimal	Track	
CD Track 21	3:40.266	0:00.000	decimal	Track	
Marker 06	3:47.764	0:00.000	decimal	Cue	
