Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.021	0:00.000	decimal	Cue	
Marker 02	0:01.588	0:00.000	decimal	Cue	
Marker 03	0:09.000	0:00.000	decimal	Cue	
Marker 04	0:13.930	0:00.000	decimal	Cue	
CD Track 05	0:19.640	0:00.000	decimal	Track	
Marker 05	0:22.491	0:00.000	decimal	Cue	
Marker 06	0:26.495	0:00.000	decimal	Cue	
CD Track 01	0:31.306	0:00.000	decimal	Track	
Marker 07	0:35.774	0:00.000	decimal	Cue	
CD Track 02	0:39.493	0:00.000	decimal	Track	
Marker 08	0:44.886	0:00.000	decimal	Cue	
CD Track 03	0:50.466	0:00.000	decimal	Track	
Marker 09	0:56.675	0:00.000	decimal	Cue	
Marker 10	1:00.796	0:00.000	decimal	Cue	
