verse,ar,en,timestamps
20:1, طه,"Ta, Ha.",0:00.021
20:2,مَآ أَنزَلْنَا عَلَيْكَ ٱلْقُرْءَانَ لِتَشْقَىٰٓ,We have not sent down to you the Qur'an that you be distressed,0:01.588
20:3,إِلَّا تَذْكِرَةً لِّمَن يَخْشَىٰ,But only as a reminder for those who fear [Allah] -,0:09.000
20:4,تَنزِيلًا مِّمَّنْ خَلَقَ ٱلْأَرْضَ,A revelation from He who created the earth,0:13.930
,وَٱلسَّمَـٰوَٰتِ ٱلْعُلَى,"and highest heavens,",0:19.640
20:5,ٱلرَّحْمَـٰنُ عَلَى ٱلْعَرْشِ ٱسْتَوَىٰ,The Most Merciful [who is] above the Throne established.,0:22.491
20:6,لَهُۥ مَا فِى ٱلسَّمَـٰوَٰتِ وَمَا فِى ٱلْأَرْضِ,To Him belongs what is in the heavens and what is on the earth,0:26.495
,وَمَا بَيْنَهُمَا وَمَا تَحْتَ ٱلثَّرَىٰ,and what is between them and what is under the soil.,0:31.306
20:7,وَإِن تَجْهَرْ بِٱلْقَوْلِ,And if you speak aloud -,0:35.774
,فَإِنَّهُۥ يَعْلَمُ ٱلسِّرَّ وَأَخْفَى,"then indeed, He knows the secret and what is [even] more hidden.",0:39.493
20:8,ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ۖ,Allah - there is no deity except Him.,0:44.886
,لَهُ ٱلْأَسْمَآءُ ٱلْحُسْنَىٰ,To Him belong the best names.,0:50.466
20:9,وَهَلْ أَتَىٰكَ حَدِيثُ مُوسَىٰٓ,And has the story of Moses reached you? -,0:56.675
,,,1:00.796
