Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.285	0:00.000	decimal	Cue	
CD Track 01	0:02.520	0:00.000	decimal	Track	
CD Track 02	0:07.133	0:00.000	decimal	Track	
Marker 02	0:12.688	0:00.000	decimal	Cue	
CD Track 03	0:15.653	0:00.000	decimal	Track	
CD Track 04	0:21.333	0:00.000	decimal	Track	
CD Track 05	0:24.266	0:00.000	decimal	Track	
CD Track 06	0:26.346	0:00.000	decimal	Track	
CD Track 07	0:30.293	0:00.000	decimal	Track	
CD Track 12	0:34.600	0:00.000	decimal	Track	
CD Track 08	0:37.373	0:00.000	decimal	Track	
CD Track 13	0:41.706	0:00.000	decimal	Track	
CD Track 09	0:43.906	0:00.000	decimal	Track	
CD Track 10	0:48.453	0:00.000	decimal	Track	
Marker 03	0:53.680	0:00.000	decimal	Cue	
CD Track 11	0:57.573	0:00.000	decimal	Track	
Marker 04	1:02.894	0:00.000	decimal	Cue	
