verse,ar,en,timestamps
6:147,فَإِن كَذَّبُوكَ,"So if they deny you, [O Muhammad],",0:00.285
,فَقُل رَّبُّكُمْ ذُو رَحْمَةٍ وَٰسِعَةٍ,"say, ""Your Lord is the possessor of vast mercy;",0:02.520
,وَلَا يُرَدُّ بَأْسُهُۥ عَنِ ٱلْقَوْمِ ٱلْمُجْرِمِينَ,"but His punishment cannot be repelled from the people who are criminals.""",0:07.133
6:148,سَيَقُولُ ٱلَّذِينَ أَشْرَكُوا,"Those who associated [others] with Allah will say,",0:12.688
,لَوْ شَآءَ ٱللَّهُ مَآ أَشْرَكْنَا,"""If Allah had willed, we would not have associated [anything]",0:15.653
,وَلَآ ءَابَآؤُنَا,"and neither would our fathers,",0:21.333
,وَلَا حَرَّمْنَا,nor would we have prohibited,0:24.266
,وَلَا حَرَّمْنَا مِن شَىْءٍ ۚ,"nor would we have prohibited anything.""",0:26.346
,كَذَٰلِكَ كَذَّبَ ٱلَّذِينَ مِن قَبْلِهِمْ,Likewise did those before deny,0:30.293
,حَتَّىٰ ذَاقُوا بَأْسَنَا ۗ,until they tasted Our punishment.,0:34.600
,قُلْ هَلْ عِندَكُم مِّنْ عِلْمٍ,"Say, ""Do you have any knowledge",0:37.373
,فَتُخْرِجُوهُ لَنَآ ۖ,that you can produce for us?,0:41.706
,إِن تَتَّبِعُونَ إِلَّا ٱلظَّنَّ,"You follow not except assumption,",0:43.906
,وَإِنْ أَنتُمْ إِلَّا تَخْرُصُونَ,"and you are not but misjudging.""",0:48.453
6:149,قُلْ فَلِلَّهِ ٱلْحُجَّةُ ٱلْبَـٰلِغَةُ ۖ,"Say, ""With Allah is the far-reaching [i.e., conclusive] argument.",0:53.680
,فَلَوْ شَآءَ لَهَدَىٰكُمْ أَجْمَعِينَ,"If He had willed, He would have guided you all.""",0:57.573
,,,1:02.894
