verse,ar,en,timestamps
76:7,يُوفُونَ بِٱلنَّذْرِ,They [are those who] fulfill [their] vows,0:00.373
,وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُۥ مُسْتَطِيرًا,and fear a Day whose evil will be widespread.,0:02.960
76:8,وَيُطْعِمُونَ ٱلطَّعَامَ عَلَىٰ حُبِّهِۦ مِسْكِينًا,"And they give food in spite of love for it to the needy,",0:09.311
,وَيَتِيمًا,"the orphan,",0:15.453
,وَأَسِيرًا,"and the captive,",0:17.160
76:9,إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ ٱللَّهِ,"[Saying], ""We feed you only for the face [i.e., approval] of Allah.",0:18.687
,لَا نُرِيدُ مِنكُمْ جَزَآءً وَلَا شُكُورًا,We wish not from you reward or gratitude.,0:25.133
76:10,إِنَّا نَخَافُ مِن رَّبِّنَا يَوْمًا,"Indeed, We fear from our Lord a Day",0:33.052
,عَبُوسًا قَمْطَرِيرًا,"austere and distressful.""",0:36.880
,,,0:40.735
