Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.000	0:00.000	decimal	Cue	
CD Track 01	0:06.306	0:00.000	decimal	Track	
CD Track 02	0:07.973	0:00.000	decimal	Track	
Marker 02	0:10.720	0:00.000	decimal	Cue	
CD Track 03	0:15.626	0:00.000	decimal	Track	
Marker 03	0:16.803	0:00.000	decimal	Cue	
CD Track 11	0:19.586	0:00.000	decimal	Track	
CD Track 04	0:24.053	0:00.000	decimal	Track	
Marker 04	0:28.011	0:00.000	decimal	Cue	
CD Track 10	0:31.640	0:00.000	decimal	Track	
CD Track 05	0:40.373	0:00.000	decimal	Track	
Marker 06	0:48.322	0:00.000	decimal	Cue	
Marker 07	0:54.008	0:00.000	decimal	Cue	
CD Track 06	0:58.520	0:00.000	decimal	Track	
Marker 08	1:03.822	0:00.000	decimal	Cue	
CD Track 13	1:09.280	0:00.000	decimal	Track	
CD Track 07	1:12.106	0:00.000	decimal	Track	
CD Track 08	1:14.320	0:00.000	decimal	Track	
Marker 09	1:19.225	0:00.000	decimal	Cue	
CD Track 09	1:24.893	0:00.000	decimal	Track	
CD Track 14	1:26.200	0:00.000	decimal	Track	
Marker 11	1:30.934	0:00.000	decimal	Cue	
