verse,ar,en,timestamps
18:99,وَتَرَكْنَا بَعْضَهُمْ يَوْمَئِذٍ يَمُوجُ فِى بَعْضٍ ۖ,"And We will leave them that day surging over each other,",0:00.000
,وَنُفِخَ فِى ٱلصُّورِ,"and [then] the Horn will be blown,",0:06.306
,فَجَمَعْنَـٰهُمْ جَمْعًا,and We will assemble them in [one] assembly.,0:07.973
18:100,وَعَرَضْنَا جَهَنَّمَ يَوْمَئِذٍ لِّلْكَـٰفِرِينَ,"And We will present Hell that Day to the disbelievers,",0:10.720
,عَرْضًا,on display -,0:15.626
18:101,ٱلَّذِينَ كَانَتْ أَعْيُنُهُمْ,Those whose eyes had been,0:16.803
,فِى غِطَآءٍ عَن ذِكْرِى,"within a cover [removed] from My remembrance,",0:19.586
,وَكَانُوا لَا يَسْتَطِيعُونَ سَمْعًا,and they were not able to hear.,0:24.053
18:102,أَفَحَسِبَ ٱلَّذِينَ كَفَرُوٓا,Then do those who disbelieve think,0:28.011
,أَن يَتَّخِذُوا عِبَادِى مِن دُونِىٓ أَوْلِيَآءَ ۚ,that they can take My servants instead of Me as allies?,0:31.640
,إِنَّآ أَعْتَدْنَا جَهَنَّمَ لِلْكَـٰفِرِينَ نُزُلًا,"Indeed, We have prepared Hell for the disbelievers as a lodging.",0:40.373
18:103,قُلْ هَلْ نُنَبِّئُكُم بِٱلْأَخْسَرِينَ أَعْمَـٰلًا,"Say, [O Muhammad], ""Shall we [believers] inform you of the greatest losers as to [their] deeds?",0:48.322
18:104,ٱلَّذِينَ ضَلَّ سَعْيُهُمْ فِى ٱلْحَيَوٰةِ ٱلدُّنْيَا,"[They are] those whose effort is lost in worldly life,",0:54.008
,وَهُمْ يَحْسَبُونَ أَنَّهُمْ يُحْسِنُونَ صُنْعًا,"while they think that they are doing well in work.""",0:58.520
18:105,أُولَـٰٓئِكَ ٱلَّذِينَ كَفَرُوا بِـَٔايَـٰتِ رَبِّهِمْ,Those are the ones who disbelieve in the verses of their Lord,1:03.822
,وَلِقَآئِهِۦ,"and in [their] meeting Him,",1:09.280
,فَحَبِطَتْ أَعْمَـٰلُهُمْ,so their deeds have become worthless;,1:12.106
,فَلَا نُقِيمُ لَهُمْ يَوْمَ ٱلْقِيَـٰمَةِ وَزْنًا,"and We will not assign to them on the Day of Resurrection any weight [i.e., importance].",1:14.320
18:106,ذَٰلِكَ جَزَآؤُهُمْ جَهَنَّمُ,That is their recompense - Hell -,1:19.225
,بِمَا كَفَرُوا,for what they denied,1:24.893
,وَٱتَّخَذُوٓا ءَايَـٰتِى وَرُسُلِى هُزُوًا,and [because] they took My signs and My messengers in ridicule.,1:26.200
,,,1:30.934
