Name	Start	Duration	Time Format	Type	Description
Marker 01	1:52.793	0:00.000	decimal	Cue	
CD Track 01	1:54.213	0:00.000	decimal	Track	
Marker 02	1:57.041	0:00.000	decimal	Cue	
Marker 03	1:59.696	0:00.000	decimal	Cue	
Marker 04	2:03.614	0:00.000	decimal	Cue	
Marker 05	2:05.915	0:00.000	decimal	Cue	
Marker 06	2:11.887	0:00.000	decimal	Cue	
Marker 07	2:15.701	0:00.000	decimal	Cue	
Marker 08	2:19.611	0:00.000	decimal	Cue	
Marker 09	2:23.270	0:00.000	decimal	Cue	
Marker 10	2:30.383	0:00.000	decimal	Cue	
Marker 11	2:36.884	0:00.000	decimal	Cue	
Marker 12	2:41.495	0:00.000	decimal	Cue	
Marker 13	2:46.419	0:00.000	decimal	Cue	
Marker 14	2:54.783	0:00.000	decimal	Cue	
Marker 15	2:59.497	0:00.000	decimal	Cue	
