verse,ar,en,timestamps
70:15,كَلَّآ ۖ,No!,1:52.793
,إِنَّهَا لَظَىٰ,"Indeed, it is the Flame [of Hell],",1:54.213
70:16,نَزَّاعَةً لِّلشَّوَىٰ,A remover of exteriors.,1:57.041
70:17,تَدْعُوا مَنْ أَدْبَرَ وَتَوَلَّىٰ,It invites he who turned his back [on truth] and went away [from obedience],1:59.696
70:18,وَجَمَعَ فَأَوْعَىٰٓ,And collected [wealth] and hoarded.,2:03.614
70:19,إِنَّ ٱلْإِنسَـٰنَ خُلِقَ هَلُوعًا,"Indeed, mankind was created anxious:",2:05.915
70:20,إِذَا مَسَّهُ ٱلشَّرُّ جَزُوعًا,"When evil touches him, impatient,",2:11.887
70:21,وَإِذَا مَسَّهُ ٱلْخَيْرُ مَنُوعًا,"And when good touches him, withholding [of it],",2:15.701
70:22,إِلَّا ٱلْمُصَلِّينَ,Except the observers of prayer -,2:19.611
70:23,ٱلَّذِينَ هُمْ عَلَىٰ صَلَاتِهِمْ دَآئِمُونَ,Those who are constant in their prayer,2:23.270
70:24,وَٱلَّذِينَ فِىٓ أَمْوَٰلِهِمْ حَقٌّ مَّعْلُومٌ,And those within whose wealth is a known right,2:30.383
70:25,لِّلسَّآئِلِ وَٱلْمَحْرُومِ,For the petitioner and the deprived -,2:36.884
70:26,وَٱلَّذِينَ يُصَدِّقُونَ بِيَوْمِ ٱلدِّينِ,And those who believe in the Day of Recompense,2:41.495
70:27,وَٱلَّذِينَ هُم مِّنْ عَذَابِ رَبِّهِم مُّشْفِقُونَ,And those who are fearful of the punishment of their Lord -,2:46.419
70:28,إِنَّ عَذَابَ رَبِّهِمْ غَيْرُ مَأْمُونٍ,"Indeed, the punishment of their Lord is not that from which one is safe -",2:54.783
,,,2:59.497
