verse,ar,en,timestamps
23:84,قُل لِّمَنِ الْأَرْضُ وَمَن فِيهَا,"Say, [O Muhammad], ""To whom belongs the earth and whoever is in it,",0:00.306
,إِن كُنتُمْ تَعْلَمُونَ,"if you should know?""",0:03.733
23:85,سَيَقُولُونَ لِلَّهِ,"They will say, ""To Allah.""",0:06.172
,قُلْ أَفَلَا تَذَكَّرُونَ,"Say, ""Then will you not remember?""",0:08.160
23:86,قُلْ مَن رَّبُّ السَّمَوَتِ السَّبْعِ,"Say, ""Who is Lord of the seven heavens",0:10.510
,وَرَبُّ الْعَرْشِ الْعَظِيمِ,"and Lord of the Great Throne?""",0:13.293
23:87,سَيَقُولُونَ لِلَّهِ,"They will say, ""[They belong] to Allah.""",0:15.476
,قُلْ أَفَلَا تَتَّقُونَ,"Say, ""Then will you not fear Him?""",0:19.026
23:88,قُلْ مَن بِيَدِهِ مَلَكُوتُ كُلِّ شَىْءٍ,"Say, ""In whose hand is the realm of all things -",0:21.255
,وَهُوَ يُجِيرُ وَلَا يُجَارُ عَلَيْهِ,and He protects while none can protect against Him -,0:25.106
,إِن كُنتُمْ تَعْلَمُونَ,"if you should know?""",0:27.906
23:89,سَيَقُولُونَ لِلَّهِ,"They will say, ""[All belongs] to Allah.""",0:30.738
,قُلْ فَأَنَّى تُسْحَرُونَ,"Say, ""Then how are you deluded?""",0:33.005
23:90,بَلْ أَتَيْنَهُم بِالْحَقِّ,"Rather, We have brought them the truth,",0:35.419
,وَإِنَّهُمْ لَكَذِبُونَ,and indeed they are liars.,0:37.826
23:91,مَا اتَّخَذَ اللَّهُ مِن وَلَدٍ,"Allah has not taken any son,",0:40.345
,وَمَا كَانَ مَعَهُ مِنْ إِلَهٍ,nor has there ever been with Him any deity.,0:43.093
,إِذًا لَّذَهَبَ كُلُّ إِلَهٍ بِمَا خَلَقَ,"[If there had been], then each deity would have taken what it created,",0:45.920
,وَلَعَلَا بَعْضُهُمْ عَلَى بَعْضٍ,and some of them would have [sought to] overcome others.,0:50.053
,سُبْحَنَ اللَّهِ عَمَّا يَصِفُونَ,Exalted is Allah above what they describe [concerning Him].,0:52.586
23:92,عَلِمِ الْغَيْبِ وَالشَّهَدَةِ,"[He is] Knower of the unseen and the witnessed,",0:57.319
,فَتَعَلَى عَمَّا يُشْرِكُونَ,so high is He above what they associate [with Him].,0:59.653
,,,1:02.495
