Name	Start	Duration	Time Format	Type	Description
Marker 13	0:35.035	0:00.000	decimal	Cue	
CD Track 08	0:38.306	0:00.000	decimal	Track	
CD Track 09	0:44.293	0:00.000	decimal	Track	
Marker 14	0:50.925	0:00.000	decimal	Cue	
Marker 15	0:54.902	0:00.000	decimal	Cue	
Marker 16	0:59.593	0:00.000	decimal	Cue	
Marker 17	1:04.440	0:00.000	decimal	Cue	
CD Track 11	1:09.440	0:00.000	decimal	Track	
Marker 18	1:14.000	0:00.000	decimal	Cue	
CD Track 13	1:18.306	0:00.000	decimal	Track	
Marker 19	1:21.495	0:00.000	decimal	Cue	
CD Track 14	1:23.106	0:00.000	decimal	Track	
Marker 20	1:30.306	0:00.000	decimal	Cue	
CD Track 15	1:34.146	0:00.000	decimal	Track	
Marker 21	1:40.735	0:00.000	decimal	Cue	
Marker 22	1:45.745	0:00.000	decimal	Cue	
CD Track 16	1:47.493	0:00.000	decimal	Track	
Marker 01	1:53.667	0:00.000	decimal	Cue	
CD Track 02	1:56.253	0:00.000	decimal	Track	
CD Track 01	2:02.373	0:00.000	decimal	Track	
CD Track 03	2:05.173	0:00.000	decimal	Track	
Marker 02	2:10.822	0:00.000	decimal	Cue	
Marker 03	2:19.752	0:00.000	decimal	Cue	
Marker 04	2:23.771	0:00.000	decimal	Cue	
Marker 05	2:27.040	0:00.000	decimal	Cue	
Marker 06	2:32.365	0:00.000	decimal	Cue	
CD Track 07	2:37.253	0:00.000	decimal	Track	
Marker 07	2:41.544	0:00.000	decimal	Cue	
CD Track 04	2:49.080	0:00.000	decimal	Track	
Marker 08	2:56.269	0:00.000	decimal	Cue	
Marker 09	3:02.763	0:00.000	decimal	Cue	
CD Track 05	3:05.346	0:00.000	decimal	Track	
Marker 10	3:11.914	0:00.000	decimal	Cue	
CD Track 06	3:18.960	0:00.000	decimal	Track	
Marker 11	3:26.637	0:00.000	decimal	Cue	
Marker 12	3:34.821	0:00.000	decimal	Cue	
