verse,ar,en,timestamps
83:7,كَلَّآ,No!,0:35.035
,إِنَّ كِتَـٰبَ ٱلْفُجَّارِ لَفِى سِجِّينٍ,"Indeed, the record of the wicked is in sijjeen.",0:38.306
83:8,وَمَآ أَدْرَىٰكَ مَا سِجِّينٌ,And what can make you know what is sijjeen?,0:44.293
83:9,كِتَـٰبٌ مَّرْقُومٌ,It is [their destination recorded in] a register inscribed.,0:50.925
83:10,وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ,"Woe, that Day, to the deniers,",0:54.902
83:11,ٱلَّذِينَ يُكَذِّبُونَ بِيَوْمِ ٱلدِّينِ,Who deny the Day of Recompense.,0:59.593
83:12,وَمَا يُكَذِّبُ بِهِۦٓ,And none deny it,1:04.440
,إِلَّا كُلُّ مُعْتَدٍ أَثِيمٍ,except every sinful transgressor.,1:09.440
83:13,إِذَا تُتْلَىٰ عَلَيْهِ ءَايَـٰتُنَا قَالَ,"When Our verses are recited to him, he says,",1:14.000
,أَسَـٰطِيرُ ٱلْأَوَّلِينَ,"""Legends of the former peoples.""",1:18.306
83:14,كَلَّا ۖ بَلْ ۜ,"No! Rather,",1:21.495
,رَانَ عَلَىٰ قُلُوبِهِم مَّا كَانُوا يَكْسِبُونَ,the stain has covered their hearts of that which they were earning.,1:23.106
83:15,كَلَّآ,No!,1:30.306
,إِنَّهُمْ عَن رَّبِّهِمْ يَوْمَئِذٍ لَّمَحْجُوبُونَ,"Indeed, from their Lord, that Day, they will be partitioned.",1:34.146
83:16,ثُمَّ إِنَّهُمْ لَصَالُوا ٱلْجَحِيمِ,"Then indeed, they will [enter and] burn in Hellfire.",1:40.735
83:17,ثُمَّ يُقَالُ,"Then it will be said [to them],",1:45.745
,هَـٰذَا ٱلَّذِى كُنتُم بِهِۦ تُكَذِّبُونَ,"""This is what you used to deny.""",1:47.493
83:18,كَلَّآ,No!,1:53.667
,إِنَّ كِتَـٰبَ ٱلْأَبْرَارِ لَفِى عِلِّيِّينَ,"Indeed, the record of the righteous is in ʿilliyyun.",1:56.253
,كَلَّآ,No!,2:02.373
,إِنَّ كِتَـٰبَ ٱلْأَبْرَارِ لَفِى عِلِّيِّينَ,"Indeed, the record of the righteous is in ʿilliyyun.",2:05.173
83:19,وَمَآ أَدْرَىٰكَ مَا عِلِّيُّونَ,And what can make you know what is ʿilliyyun?,2:10.822
83:20,كِتَـٰبٌ مَّرْقُومٌ,It is [their destination recorded in] a register inscribed,2:19.752
83:21,يَشْهَدُهُ ٱلْمُقَرَّبُونَ,Which is witnessed by those brought near [to Allah].,2:23.771
83:22,إِنَّ ٱلْأَبْرَارَ لَفِى نَعِيمٍ,"Indeed, the righteous will be in pleasure",2:27.040
83:23,عَلَى ٱلْأَرَآئِكِ,"On adorned couches,",2:32.365
,يَنظُرُونَ,observing.,2:37.253
83:24,تَعْرِفُ فِى وُجُوهِهِمْ نَضْرَةَ ٱلنَّعِيمِ,You will recognize in their faces the radiance of pleasure.,2:41.544
,تَعْرِفُ فِى وُجُوهِهِمْ نَضْرَةَ ٱلنَّعِيمِ,You will recognize in their faces the radiance of pleasure.,2:49.080
83:25,يُسْقَوْنَ مِن رَّحِيقٍ مَّخْتُومٍ,They will be given to drink [pure] wine [which was] sealed.,2:56.269
83:26,خِتَـٰمُهُۥ مِسْكٌ ۚ,The last of it is musk.,3:02.763
,وَفِى ذَٰلِكَ فَلْيَتَنَافَسِ ٱلْمُتَنَـٰفِسُونَ,So for this let the competitors compete.,3:05.346
83:27,وَمِزَاجُهُۥ مِن تَسْنِيمٍ,"And its mixture is of Tasneem,",3:11.914
,وَمِزَاجُهُۥ مِن تَسْنِيمٍ,"And its mixture is of Tasneem,",3:18.960
83:28,عَيْنًا يَشْرَبُ بِهَا ٱلْمُقَرَّبُونَ,A spring from which those near [to Allah] drink.,3:26.637
,,,3:34.821
