Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.568	0:00.000	decimal	Cue	
CD Track 01	0:07.853	0:00.000	decimal	Track	
CD Track 02	0:09.946	0:00.000	decimal	Track	
CD Track 03	0:11.800	0:00.000	decimal	Track	
CD Track 04	0:13.893	0:00.000	decimal	Track	
CD Track 05	0:17.133	0:00.000	decimal	Track	
CD Track 06	0:20.866	0:00.000	decimal	Track	
CD Track 07	0:25.933	0:00.000	decimal	Track	
Marker 02	0:29.477	0:00.000	decimal	Cue	
CD Track 08	0:32.320	0:00.000	decimal	Track	
CD Track 09	0:36.160	0:00.000	decimal	Track	
Marker 03	0:42.000	0:00.000	decimal	Cue	
