verse,ar,en,timestamps
28:7,وَأَوْحَيْنَا إِلَى أُمِّ مُوسَى,"And We inspired to the mother of Moses,",0:00.568
,أَنْ أَرْضِعِيهِ,"""Suckle him;",0:07.853
,فَإِذَا خِفْتِ عَلَيْهِ,"but when you fear for him,",0:09.946
,فَأَلْقِيهِ فِى الْيَمِّ,cast him into the river,0:11.800
,وَلَا تَخَافِى وَلَا تَحْزَنِى,and do not fear and do not grieve.,0:13.893
,وَلَا تَخَافِى وَلَا تَحْزَنِى,and do not fear and do not grieve.,0:17.133
,إِنَّا رَادُّوهُ إِلَيْكِ,"Indeed, We will return him to you",0:20.866
,وَجَاعِلُوهُ مِنَ الْمُرْسَلِينَ,"and will make him [one] of the messengers.""",0:25.933
28:8,فَالْتَقَطَهُ ءَالُ فِرْعَوْنَ,And the family of Pharaoh picked him up [out of the river],0:29.477
,لِيَكُونَ لَهُمْ عَدُوًّا وَحَزَنًا,so that he would become to them an enemy and a [cause of] grief.,0:32.320
,إِنَّ فِرْعَوْنَ وَهَمَنَ وَجُنُودَهُمَا كَانُوا خَطِِٔينَ,"Indeed, Pharaoh and Haman and their soldiers were deliberate sinners.",0:36.160
,,,0:42.000
