Name	Start	Duration	Time Format	Type	Description
Marker 01	2:36.041	0:00.000	decimal	Cue	
CD Track 01	2:39.613	0:00.000	decimal	Track	
CD Track 02	2:48.000	0:00.000	decimal	Track	
CD Track 03	2:51.280	0:00.000	decimal	Track	
CD Track 04	2:56.213	0:00.000	decimal	Track	
CD Track 05	2:59.266	0:00.000	decimal	Track	
CD Track 06	3:01.706	0:00.000	decimal	Track	
Marker 02	3:04.814	0:00.000	decimal	Cue	
CD Track 07	3:11.213	0:00.000	decimal	Track	
CD Track 08	3:18.560	0:00.000	decimal	Track	
Marker 03	3:23.340	0:00.000	decimal	Cue	
