verse,ar,en,timestamps
3:162,أَفَمَنِ اتَّبَعَ رِضْوَنَ اللَّهِ,So is one who pursues the pleasure of Allah,2:36.041
,كَمَن بَاءَ بِسَخَطٍ مِّنَ اللَّهِ,like one who brings upon himself the anger of Allah,2:39.613
,أَفَمَنِ اتَّبَعَ رِضْوَنَ اللَّهِ,So is one who pursues the pleasure of Allah,2:48.000
,كَمَن بَاءَ بِسَخَطٍ مِّنَ اللَّهِ,like one who brings upon himself the anger of Allah,2:51.280
,وَمَأْوَىهُ جَهَنَّمُ,and whose refuge is Hell?,2:56.213
,وَمَأْوَىهُ جَهَنَّمُ,and whose refuge is Hell?,2:59.266
,وَبِئْسَ الْمَصِيرُ,And wretched is the destination.,3:01.706
3:163,هُمْ دَرَجَتٌ عِندَ اللَّهِ,"They are [varying] degrees in the sight of Allah,",3:04.814
,هُمْ دَرَجَتٌ عِندَ اللَّهِ,"They are [varying] degrees in the sight of Allah,",3:11.213
,وَاللَّهُ بَصِيرٌ بِمَا يَعْمَلُونَ,and Allah is Seeing of whatever they do.,3:18.560
,,,3:23.340
