Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.358	0:00.000	decimal	Cue	
CD Track 01	0:05.000	0:00.000	decimal	Track	
CD Track 02	0:11.080	0:00.000	decimal	Track	
CD Track 03	0:16.440	0:00.000	decimal	Track	
CD Track 04	0:22.586	0:00.000	decimal	Track	
Marker 05	0:27.605	0:00.000	decimal	Cue	
CD Track 05	0:29.880	0:00.000	decimal	Track	
CD Track 06	0:33.360	0:00.000	decimal	Track	
CD Track 07	0:34.933	0:00.000	decimal	Track	
CD Track 08	0:36.773	0:00.000	decimal	Track	
CD Track 09	0:41.866	0:00.000	decimal	Track	
CD Track 10	0:44.493	0:00.000	decimal	Track	
CD Track 11	0:48.053	0:00.000	decimal	Track	
Marker 06	0:53.000	0:00.000	decimal	Cue	
CD Track 12	0:55.826	0:00.000	decimal	Track	
Marker 07	1:01.500	0:00.000	decimal	Cue	
CD Track 13	1:05.040	0:00.000	decimal	Track	
CD Track 14	1:07.333	0:00.000	decimal	Track	
Marker 08	1:12.053	0:00.000	decimal	Cue	
CD Track 15	1:14.360	0:00.000	decimal	Track	
CD Track 16	1:17.346	0:00.000	decimal	Track	
Marker 09	1:22.318	0:00.000	decimal	Cue	
