verse,ar,en,timestamps
16:96,مَا عِندَكُمْ يَنفَدُ ۖ,"Whatever you have will end,",0:00.358
,وَمَا عِندَ ٱللَّهِ بَاقٍ ۗ,but what Allah has is lasting.,0:05.000
,وَمَا عِندَ ٱللَّهِ بَاقٍ ۗ,but what Allah has is lasting.,0:11.080
,وَلَنَجْزِيَنَّ ٱلَّذِينَ صَبَرُوٓا أَجْرَهُم,And We will surely give those who were patient their reward,0:16.440
,بِأَحْسَنِ مَا كَانُوا يَعْمَلُونَ,according to the best of what they used to do.,0:22.586
16:97,مَنْ عَمِلَ صَـٰلِحًا,"Whoever does righteousness,",0:27.605
,مِّن ذَكَرٍ أَوْ أُنثَىٰ,"whether male or female,",0:29.880
,وَهُوَ مُؤْمِنٌ,while he is a believer -,0:33.360
,وَهُوَ مُؤْمِنٌ,while he is a believer -,0:34.933
,فَلَنُحْيِيَنَّهُۥ حَيَوٰةً طَيِّبَةً ۖ,"We will surely cause him to live a good life,",0:36.773
,وَلَنَجْزِيَنَّهُمْ,and We will surely give them,0:41.866
,وَلَنَجْزِيَنَّهُمْ أَجْرَهُم,and We will surely give them their reward [in the Hereafter],0:44.493
,بِأَحْسَنِ مَا كَانُوا يَعْمَلُونَ,according to the best of what they used to do.,0:48.053
16:98,فَإِذَا قَرَأْتَ ٱلْقُرْءَانَ,"So when you recite the Qur'an,",0:53.000
,فَٱسْتَعِذْ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,"[first] seek refuge in Allah from Satan, the expelled [from His mercy].",0:55.826
16:99,إِنَّهُۥ لَيْسَ لَهُۥ سُلْطَـٰنٌ,"Indeed, there is for him no authority",1:01.500
,عَلَى ٱلَّذِينَ ءَامَنُوا,over those who have believed,1:05.040
,وَعَلَىٰ رَبِّهِمْ يَتَوَكَّلُونَ,and rely upon their Lord.,1:07.333
16:100,إِنَّمَا سُلْطَـٰنُهُۥ,His authority is only,1:12.053
,عَلَى ٱلَّذِينَ يَتَوَلَّوْنَهُۥ,over those who take him as an ally,1:14.360
,وَٱلَّذِينَ هُم بِهِۦ مُشْرِكُونَ,and those who through him associate others with Allah.,1:17.346
,,,1:22.318
