Name	Start	Duration	Time Format	Type	Description
Marker 01	02:01.344	0:00.000	decimal	Cue	
Marker 02	02:05.992	0:00.000	decimal	Cue	
Marker 03	02:13.816	0:00.000	decimal	Cue	
Marker 04	02:17.979	0:00.000	decimal	Cue	
Marker 07	02:22.589	0:00.000	decimal	Cue	
Marker 08	02:28.867	0:00.000	decimal	Cue	
Marker 09	02:34.029	0:00.000	decimal	Cue	
Marker 10	02:42.249	0:00.000	decimal	Cue	
Marker 11	02:49.522	0:00.000	decimal	Cue	
Marker 01	02:56.160	0:00.000	decimal	Cue	
Marker 02	02:59.953	0:00.000	decimal	Cue	
CD Track 02	03:02.381	0:00.000	decimal	Track	
Marker 03	03:06.273	0:00.000	decimal	Cue	
Marker 04	03:12.381	0:00.000	decimal	Cue	
CD Track 04	03:16.901	0:00.000	decimal	Track	
Marker 05	03:19.727	0:00.000	decimal	Cue	
Marker 06	03:26.892	0:00.000	decimal	Cue	
CD Track 05	03:28.514	0:00.000	decimal	Track	
Marker 07	03:31.959	0:00.000	decimal	Cue	
Marker 08	03:37.881	0:00.000	decimal	Cue	
CD Track 07	03:41.901	0:00.000	decimal	Track	
CD Track 06	03:47.047	0:00.000	decimal	Track	
CD Track 11	03:50.981	0:00.000	decimal	Track	
CD Track 09	03:54.754	0:00.000	decimal	Track	
CD Track 08	03:57.234	0:00.000	decimal	Track	
CD Track 10	03:59.341	0:00.000	decimal	Track	
Marker 09	04:02.502	0:00.000	decimal	Cue	
Marker 10	04:09.918	0:00.000	decimal	Cue	
