Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.336	0:00.000	decimal	Cue	
CD Track 01	0:04.466	0:00.000	decimal	Track	
Marker 02	0:07.145	0:00.000	decimal	Cue	
CD Track 02	0:09.400	0:00.000	decimal	Track	
CD Track 03	0:11.013	0:00.000	decimal	Track	
CD Track 04	0:13.666	0:00.000	decimal	Track	
Marker 03	0:16.457	0:00.000	decimal	Cue	
CD Track 05	0:21.733	0:00.000	decimal	Track	
CD Track 13	0:24.200	0:00.000	decimal	Track	
CD Track 06	0:26.786	0:00.000	decimal	Track	
CD Track 07	0:32.760	0:00.000	decimal	Track	
CD Track 08	0:41.413	0:00.000	decimal	Track	
Marker 04	0:48.163	0:00.000	decimal	Cue	
CD Track 09	0:53.186	0:00.000	decimal	Track	
CD Track 10	0:58.093	0:00.000	decimal	Track	
CD Track 11	1:02.973	0:00.000	decimal	Track	
Marker 05	1:07.458	0:00.000	decimal	Cue	
