Name	Start	Duration	Time Format	Type	Description
Marker 01	10:25.047	0:00.000	decimal	Cue	
CD Track 01	10:27.160	0:00.000	decimal	Track	
CD Track 02	10:29.506	0:00.000	decimal	Track	
CD Track 03	10:31.506	0:00.000	decimal	Track	
Marker 02	10:34.563	0:00.000	decimal	Cue	
CD Track 04	10:39.773	0:00.000	decimal	Track	
CD Track 05	10:44.720	0:00.000	decimal	Track	
Marker 03	10:47.500	0:00.000	decimal	Cue	
CD Track 06	10:49.933	0:00.000	decimal	Track	
CD Track 07	10:54.960	0:00.000	decimal	Track	
Marker 04	10:59.235	0:00.000	decimal	Cue	
CD Track 08	11:02.160	0:00.000	decimal	Track	
CD Track 09	11:04.240	0:00.000	decimal	Track	
CD Track 17	11:06.773	0:00.000	decimal	Track	
Marker 05	11:10.226	0:00.000	decimal	Cue	
CD Track 11	11:13.000	0:00.000	decimal	Track	
CD Track 12	11:15.106	0:00.000	decimal	Track	
Marker 06	11:21.131	0:00.000	decimal	Cue	
CD Track 13	11:25.000	0:00.000	decimal	Track	
CD Track 18	11:27.493	0:00.000	decimal	Track	
CD Track 19	11:28.960	0:00.000	decimal	Track	
CD Track 14	11:30.813	0:00.000	decimal	Track	
Marker 07	11:34.057	0:00.000	decimal	Cue	
CD Track 15	11:38.866	0:00.000	decimal	Track	
CD Track 16	11:43.280	0:00.000	decimal	Track	
Marker 08	11:47.500	0:00.000	decimal	Cue	
