verse,ar,en,timestamps
19:61,جَنَّـٰتِ عَدْنٍ,[Therein are] gardens of perpetual residence,15:01.029
,ٱلَّتِى وَعَدَ ٱلرَّحْمَـٰنُ عِبَادَهُۥ بِٱلْغَيْبِ ۚ,which the Most Merciful has promised His servants in the unseen.,15:03.653
,إِنَّهُۥ كَانَ وَعْدُهُۥ مَأْتِيًّا,"Indeed, His promise has ever been eminent.",15:10.880
19:62,لَّا يَسْمَعُونَ فِيهَا لَغْوًا,They will not hear therein any ill speech -,15:16.000
,لَّا يَسْمَعُونَ فِيهَا لَغْوًا,They will not hear therein any ill speech -,15:20.093
,إِلَّا سَلَـٰمًا ۖ,only [greetings of] peace -,15:23.400
,وَلَهُمْ رِزْقُهُمْ فِيهَا,"and they will have their provision therein,",15:25.866
,بُكْرَةً وَعَشِيًّا,morning and afternoon.,15:28.626
19:63,تِلْكَ ٱلْجَنَّةُ,"That is Paradise,",15:31.813
,تِلْكَ ٱلْجَنَّةُ,"That is Paradise,",15:36.092
,ٱلَّتِى نُورِثُ مِنْ عِبَادِنَا مَن كَانَ تَقِيًّا,which We give as inheritance to those of Our servants who were fearing of Allah.,15:38.346
,,,15:45.405
