Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.362	0:00.000	decimal	Cue	
CD Track 01	0:01.373	0:00.000	decimal	Track	
CD Track 02	0:05.693	0:00.000	decimal	Track	
CD Track 03	0:08.000	0:00.000	decimal	Track	
CD Track 04	0:11.373	0:00.000	decimal	Track	
CD Track 05	0:13.680	0:00.000	decimal	Track	
CD Track 06	0:15.186	0:00.000	decimal	Track	
CD Track 07	0:17.000	0:00.000	decimal	Track	
Marker 02	0:23.233	0:00.000	decimal	Cue	
CD Track 08	0:25.133	0:00.000	decimal	Track	
CD Track 09	0:29.586	0:00.000	decimal	Track	
Marker 03	0:34.696	0:00.000	decimal	Cue	
