Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.045	0:00.000	decimal	Cue	
Marker 02	0:03.402	0:00.000	decimal	Cue	
CD Track 01	0:11.653	0:00.000	decimal	Track	
Marker 04	0:18.117	0:00.000	decimal	Cue	
Marker 05	0:24.900	0:00.000	decimal	Cue	
Marker 06	0:30.719	0:00.000	decimal	Cue	
Marker 07	0:35.929	0:00.000	decimal	Cue	
CD Track 02	0:37.786	0:00.000	decimal	Track	
Marker 09	0:40.835	0:00.000	decimal	Cue	
CD Track 03	0:46.613	0:00.000	decimal	Track	
Marker 10	0:52.585	0:00.000	decimal	Cue	
CD Track 04	0:54.586	0:00.000	decimal	Track	
CD Track 05	0:59.120	0:00.000	decimal	Track	
CD Track 06	1:01.053	0:00.000	decimal	Track	
Marker 11	1:04.944	0:00.000	decimal	Cue	
Marker 12	1:09.589	0:00.000	decimal	Cue	
