Name	Start	Duration	Time Format	Type	Description
Marker 01	01:06.384	0:00.000	decimal	Cue	
Marker 02	01:15.995	0:00.000	decimal	Cue	
Marker 03	01:24.576	0:00.000	decimal	Cue	
Marker 04	01:31.906	0:00.000	decimal	Cue	
Marker 06	01:39.266	0:00.000	decimal	Cue	
Marker 07	01:45.115	0:00.000	decimal	Cue	
Marker 08	02:01.092	0:00.000	decimal	Cue	
Marker 09	02:11.141	0:00.000	decimal	Cue	
Marker 10	02:23.139	0:00.000	decimal	Cue	
Marker 11	02:30.146	0:00.000	decimal	Cue	
Marker 12	02:37.404	0:00.000	decimal	Cue	
CD Track 10	02:43.250	0:00.000	decimal	Track	
CD Track 01	02:45.690	0:00.000	decimal	Track	
CD Track 11	02:50.477	0:00.000	decimal	Track	
CD Track 02	02:53.490	0:00.000	decimal	Track	
CD Track 04	03:00.744	0:00.000	decimal	Track	
CD Track 05	03:08.384	0:00.000	decimal	Track	
CD Track 06	03:14.344	0:00.000	decimal	Track	
CD Track 07	03:19.877	0:00.000	decimal	Track	
Marker 15	03:27.700	0:00.000	decimal	Cue	
Marker 16	03:44.943	0:00.000	decimal	Cue	
Marker 18	04:02.197	0:00.000	decimal	Cue	
